option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
ABBV230616P00185000,ABBV230616C00185000,344.9357284043728,0.2249999999999999,26.025,185.0,160.935,70,0.17872677012829732,0.34308189385522386
ABBV230616P00180000,ABBV230616C00180000,296.3023303393882,0.415,20.775,180.0,160.935,70,0.1709765409212826,0.28666292291888645
ABBV230519P00180000,ABBV230519C00180000,247.76769161308678,0.21,20.75,180.0,160.935,42,0.19188017856740006,0.35547527561497466
ABBV230616P00175000,ABBV230616C00175000,245.16893227440625,0.93,15.825,175.0,160.935,70,0.17296906901542808,0.2420193618072323
