option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
XLRE230519P00040000,XLRE230519C00040000,23.781709247352147,0.15,3.3,40,36.864999999999995,42,0.19851572486219835,0.22698595998461968
XLRE230519P00041000,XLRE230519C00041000,21.838751978535953,0.125,4.25,41,36.864999999999995,42,0.22866296250898152,0.2546503527263044
