option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
MMM230616P00120000,MMM230616C00120000,161.20155355959264,0.4499999999999999,18.6,120,102.35,70,0.25936619532540156,0.3125323909985163
MMM230616P00115000,MMM230616C00115000,146.06815549460902,1.0550000000000002,14.1,115,102.35,70,0.26859211253877174,0.2937123507764074
MMM230616P00110000,MMM230616C00110000,142.4347574296256,2.12,10.175,110,102.35,70,0.27597551025418826,0.292973557356614
MMM230519P00120000,MMM230519C00120000,136.3451277420566,0.23,18.575,120,102.35,42,0.28692002960230273,0.400752987424705
MMM230519P00115000,MMM230519C00115000,131.55991408613784,0.575,13.9,115,102.35,42,0.2848116652307881,0.3597619262701574
MMM230616P00105000,MMM230616C00105000,119.80135936464364,4.0,6.875,105,102.35,70,0.2937675880025187,0.29585466832078816
