option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
PFE230526P00042000,PFE230526C00042000,85.78240372761763,1.085,2.275,42.0,41.395,49,0.2199554963370217,0.32613133396462674
PFE230512P00045000,PFE230512C00045000,64.39882025777601,0.185,4.225,45.0,41.395,35,0.22792609646646927,0.36641782820313074
PFE230616P00050000,PFE230616C00050000,55.83398064983065,0.075,8.774999999999999,50.0,41.395,70,0.24067941064429946,0.3346988826905053
PFE230616P00047500,PFE230616C00047500,50.01728161733902,0.16,6.325,47.5,41.395,70,0.22120130424848444,0.27486484520589155
PFE230616P00045000,PFE230616C00045000,49.70058258484728,0.415,4.1,45.0,41.395,70,0.21079439152691176,0.2455783901377428
PFE230526P00045000,PFE230526C00045000,48.231146851018906,0.255,4.050000000000001,45.0,41.395,49,0.2125046297843678,0.2766266257224458
PFE230519P00047500,PFE230519C00047500,41.95952973123145,0.065,6.325,47.5,41.395,42,0.23523069845364056,0.33893210456849987
PFE230616P00042500,PFE230616C00042500,40.38388355235634,1.135,2.25,42.5,41.395,70,0.21785545141066634,0.23121471584077274
PFE230519P00050000,PFE230519C00050000,39.85213655919093,0.025,8.75,50.0,41.395,42,0.26005282000055147,0.3992708122138629
