datetime,symbol,exch,spot,bid,ask,hv_cc_30D,hv_zh_30D,catm_30D,patm_30D,vix_30D,mrtn_30D,skew_30D,q_min,q_max,gex,vex,gamma_flip,hv_zh_5D,hv_cc_5D,lamda,mu_j,sig_j,q,r,volume,volume10D,open,high,low,hv_hl_30D,hv_hl_5D
2023-02-21 09:47:00,CSX,NasdaqGS,30.885,30.88,30.89,0.2399142357021307,0.2935701667479374,0.2413460508857859,0.2695720108502223,0.2258468869294763,0.1997284829935136,112.27973125048146,0.2301773256115554,0.3334190371936476,-0.5658706485110641,-0.0011680946620093,46.70786740073997,0.3009537865734885,0.1387021941805732,9.545454545454549,-0.0252706881266705,0.0586960447390788,0.012816406,0.0467999999999999,1668611,11970090,31.01,31.0,30.81,0.4346430198423568,0.3456027317223564
2023-02-21 14:01:00,CSX,NasdaqGS,30.725,30.72,30.73,0.2412577732615233,0.2961400774221013,0.2493496985422288,0.2682460579294626,0.2537376510893458,0.2011901366917317,114.37469897435278,0.2310926345032119,0.3304932218501895,-0.6864774464539184,-0.002530959899463,35.54014443010422,0.3430378673151096,0.1573892770009645,9.545454545454549,-0.0246735491415346,0.0572934762588265,0.012816406,0.04688,7769847,11970090,30.94,31.0,30.605,0.4374199423465332,0.391002222484718
2023-02-21 16:53:00,CSX,NasdaqGS,30.59,30.59,30.59,0.2412577732615233,0.2961400774221013,0.2461902636833371,0.2625251664766511,0.2604168486281628,0.2011901366917253,122.98703222928336,0.2278232503753257,0.3256965368159462,-0.7533354179071499,-0.003298768412739,39.64095726841629,0.3430378673151096,0.1573892770009645,9.545454545454549,-0.0246735491415319,0.0559984212159332,0.012816406,0.04688,14489701,11970090,30.94,31.0,30.56,0.4374199423465332,0.391002222484718
2023-02-22 11:01:00,CSX,NasdaqGS,30.425,30.42,30.43,0.2418992980921886,0.2943419501638324,0.2540040421140448,0.2864981044321463,0.1816876237456944,0.2003275418045516,144.44060849459544,0.2307635551016447,0.3369337586373891,-0.3796195671976551,-0.0032476452450287,30.551895927651103,0.3054969258239155,0.1580407486069388,9.545454545454549,-0.0138887941979418,0.0617768497810047,0.0130761685,0.047,4969870,12682430,30.66,30.87,30.29,0.436371373354469,0.3584323825876328
2023-02-22 14:18:00,CSX,NasdaqGS,30.325,30.32,30.33,0.2418992980921886,0.2943419501638324,0.2495758414294864,0.2818354926223612,0.1832350528948419,0.2003275418045516,139.59295887320897,0.2277489140270071,0.3241834174918053,-0.6318444208023082,-0.003405045917543,31.20001425302412,0.3054969258239155,0.1580407486069388,9.545454545454549,-0.0188823459819607,0.0583011633745672,0.0130761685,0.0469,10309469,12682430,30.66,30.87,30.24,0.436371373354469,0.3584323825876328
2023-02-22 15:46:00,CSX,NasdaqGS,29.915,29.91,29.92,0.2418992980921886,0.2943419501638324,0.2427058995843383,0.2862997954800955,0.2269021531434815,0.2003275418045517,127.48679509332862,0.2313295163383207,0.335720930459855,-0.6821938017850763,-1.9030543539772767e-06,29.61034784038573,0.3054969258239155,0.1580407486069388,9.5454545454547,-0.0107219626865692,0.0638103214490592,0.0130761685,0.04695,13313993,12682430,30.66,30.87,29.81,0.436371373354469,0.3584323825876328
2023-02-23 10:02:00,CSX,NasdaqGS,30.52,30.52,30.52,0.2475200000144723,0.2995034265085405,0.2426399408790577,0.2590419668555787,0.2435837391074965,0.2002311291024394,122.36939049443971,0.2254978264177183,0.3161193901345251,-0.476024286558834,-0.0042140471633357,30.84220128462528,0.3226190800982855,0.2051251815959509,9.545454545454549,-0.0248794027607207,0.0532566997391971,0.01333778,0.0469,1485139,13487520,30.31,30.58,30.26,0.4464094676098351,0.4027446513715541
2023-02-24 10:02:00,CSX,NasdaqGS,30.255000000000003,30.25,30.26,0.2553952369970408,0.3005106892816757,0.2709541050454461,0.2670216996842348,0.1802754190430402,0.1989902092259486,146.09857851664674,0.2340365645275118,0.3122448216703472,0.1011418605605866,-0.0044134761569413,27.94354681941083,0.3104837135350114,0.2568260870115716,15.272727272727272,-0.0333025387934746,0.0333424435840909,0.013050571,0.04708,869630,14308690,30.39,30.44,30.21,0.4496422604868233,0.4046396511373217
2023-02-24 14:07:00,CSX,NasdaqGS,30.685,30.68,30.69,0.2553952369970408,0.3005106892816757,0.2252831966305327,0.2671293822817722,0.2361492246296392,0.1989902092259473,126.52421322680992,0.2284585730097321,0.2970060133554725,0.1005626252272191,-0.0046695421512765,30.420470607968213,0.3104837135350114,0.2568260870115716,15.272727272727938,-0.024671123462985,0.0354432938569916,0.013050571,0.04698,5349721,14308690,30.39,30.73,30.21,0.4496422604868233,0.4046396511373217
2023-02-24 15:47:00,CSX,NasdaqGS,30.745,30.74,30.75,0.2553952369970408,0.3005106892816757,0.2243159079334085,0.2617140823873082,0.2279712813438825,0.1989902092259473,131.16102725584332,0.2250996762746876,0.2903865014282563,-0.407160737272642,-0.0047685914507381,29.06213093439824,0.3104837135350114,0.2568260870115716,15.2727272727273,-0.0209992245035341,0.0353684922787535,0.013050571,0.04703,8015126,14308690,30.39,30.82,30.21,0.4496422604868233,0.4046396511373217
