option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
XLB230616P00086000,XLB230616C00086000,49.69444671770793,0.825,6.550000000000001,86.0,79.975,70,0.18905902894957727,0.2098743291310174
XLB230519P00086000,XLB230519C00086000,45.405674881807556,0.35,6.35,86.0,79.975,42,0.18290169962879954,0.2253601727821609
XLB230616P00084000,XLB230616C00084000,45.34108749171373,1.35,5.050000000000001,84.0,79.975,70,0.19264386528124006,0.2070171491907008
XLB230616P00085000,XLB230616C00085000,43.76776710471147,1.075,5.75,85.0,79.975,70,0.19179482807734577,0.20589382206575738
XLB230616P00083000,XLB230616C00083000,41.9144078787173,1.725,4.4,83.0,79.975,70,0.1973245312203496,0.2083918101312859
XLB230616P00082000,XLB230616C00082000,40.98772826572086,2.125,3.8,82.0,79.975,70,0.1997604673435199,0.2098039945037268
